size,type,W,A,d,b,t,k,k_det,x,y,x_p,y_p,lamb,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,I_z,r_z,S_z,J,C_w,r_o,tan_alpha,I_w,z_A,z_B,z_C,w_A,w_B,w_C,S_wA,S_wC,S_zA,S_zB,S_zC,P_A,P_A2,P_B
L12X12X1-3/8,L,105.0 plf,31.1 in ** 2,12.0 in,12.0 in,1.38 in,2.09 in,2.0625 in,3.5 in,3.5 in,1.3 in,1.3 in,8.7,413.0 in ** 4,88.1 in ** 3,48.6 in ** 3,3.64 in,413.0 in ** 4,88.1 in ** 3,48.6 in ** 3,3.64 in,165.0 in ** 4,2.3 in,33.3 in ** 3,19.9 in ** 4,211.0 in ** 6,6.51 in,1,661.0 in ** 4,8.0 in,0.0 in,8.0 in,4.02 in,4.95 in,4.02 in,82.6 in ** 3,82.6 in ** 3,41.0 in ** 3,33.3 in ** 3,41.0 in ** 3,36.0 in,36.0 in,48.0 in
L12X12X1-1/4,L,96.4 plf,28.4 in ** 2,12.0 in,12.0 in,1.25 in,1.96 in,1.9375 in,3.45 in,3.45 in,1.18 in,1.18 in,9.6,381.0 in ** 4,80.7 in ** 3,44.6 in ** 3,3.66 in,381.0 in ** 4,80.7 in ** 3,44.6 in ** 3,3.66 in,152.0 in ** 4,2.31 in,31.1 in ** 3,14.9 in ** 4,160.0 in ** 6,6.54 in,1,610.0 in ** 4,8.04 in,0.0 in,8.04 in,4.05 in,4.88 in,4.05 in,75.9 in ** 3,75.9 in ** 3,37.5 in ** 3,31.1 in ** 3,37.5 in ** 3,36.0 in,36.0 in,48.0 in
L12X12X1-1/8,L,87.2 plf,25.8 in ** 2,12.0 in,12.0 in,1.13 in,1.84 in,1.8125 in,3.41 in,3.41 in,1.08 in,1.08 in,10.6,350.0 in ** 4,73.7 in ** 3,40.7 in ** 3,3.68 in,350.0 in ** 4,73.7 in ** 3,40.7 in ** 3,3.68 in,140.0 in ** 4,2.33 in,29.0 in ** 3,11.1 in ** 4,120.0 in ** 6,6.58 in,1,560.0 in ** 4,8.09 in,0.0 in,8.09 in,4.06 in,4.82 in,4.06 in,69.2 in ** 3,69.2 in ** 3,34.5 in ** 3,29.0 in ** 3,34.5 in ** 3,36.0 in,36.0 in,48.0 in
L12X12X1,L,77.8 plf,23.0 in ** 2,12.0 in,12.0 in,1.0 in,1.71 in,1.6875 in,3.36 in,3.36 in,0.958 in,0.958 in,12,315.0 in ** 4,65.9 in ** 3,36.5 in ** 3,3.7 in,315.0 in ** 4,65.9 in ** 3,36.5 in ** 3,3.7 in,126.0 in ** 4,2.34 in,26.5 in ** 3,7.8 in ** 4,84.5 in ** 6,6.61 in,1,504.0 in ** 4,8.13 in,0.0 in,8.13 in,4.09 in,4.75 in,4.09 in,62.0 in ** 3,62.0 in ** 3,30.8 in ** 3,26.5 in ** 3,30.8 in ** 3,36.0 in,36.0 in,48.0 in
L10X10X1-3/8,L,87.1 plf,25.6 in ** 2,10.0 in,10.0 in,1.38 in,2.18 in,2.1875 in,3.0 in,3.0 in,1.28 in,1.28 in,7.25,231.0 in ** 4,59.9 in ** 3,33.0 in ** 3,3.0 in,231.0 in ** 4,59.8 in ** 3,33.0 in ** 3,3.0 in,93.3 in ** 4,1.91 in,22.0 in ** 3,16.4 in ** 4,118.0 in ** 6,5.36 in,1,369.0 in ** 4,6.58 in,0.0 in,6.58 in,3.32 in,4.24 in,3.32 in,56.1 in ** 3,56.1 in ** 3,28.1 in ** 3,22.0 in ** 3,28.1 in ** 3,30.0 in,30.0 in,40.0 in
L10X10X1-1/4,L,79.9 plf,23.4 in ** 2,10.0 in,10.0 in,1.25 in,2.05 in,2.0625 in,2.95 in,2.95 in,1.17 in,1.17 in,8,213.0 in ** 4,54.9 in ** 3,30.2 in ** 3,3.02 in,213.0 in ** 4,54.9 in ** 3,30.2 in ** 3,3.02 in,85.4 in ** 4,1.91 in,20.5 in ** 3,12.3 in ** 4,89.4 in ** 6,5.39 in,1,341.0 in ** 4,6.63 in,0.0 in,6.63 in,3.34 in,4.17 in,3.34 in,51.4 in ** 3,51.4 in ** 3,25.6 in ** 3,20.5 in ** 3,25.6 in ** 3,30.0 in,30.0 in,40.0 in
L10X10X1-1/8,L,72.3 plf,21.3 in ** 2,10.0 in,10.0 in,1.13 in,1.93 in,1.9375 in,2.9 in,2.9 in,1.07 in,1.07 in,8.85,196.0 in ** 4,50.2 in ** 3,27.6 in ** 3,3.03 in,196.0 in ** 4,50.2 in ** 3,27.6 in ** 3,3.03 in,78.2 in ** 4,1.92 in,19.1 in ** 3,9.21 in ** 4,67.3 in ** 6,5.41 in,1,314.0 in ** 4,6.67 in,0.0 in,6.67 in,3.37 in,4.1 in,3.37 in,47.1 in ** 3,47.1 in ** 3,23.2 in ** 3,19.1 in ** 3,23.2 in ** 3,30.0 in,30.0 in,40.0 in
L10X10X1,L,64.7 plf,19.0 in ** 2,10.0 in,10.0 in,1.0 in,1.8 in,1.8125 in,2.86 in,2.86 in,0.95 in,0.95 in,10,177.0 in ** 4,45.0 in ** 3,24.8 in ** 3,3.05 in,177.0 in ** 4,45.0 in ** 3,24.8 in ** 3,3.05 in,70.4 in ** 4,1.92 in,17.4 in ** 3,6.46 in ** 4,47.6 in ** 6,5.46 in,1,284.0 in ** 4,6.72 in,0.0 in,6.72 in,3.38 in,4.04 in,3.38 in,42.3 in ** 3,42.3 in ** 3,20.8 in ** 3,17.4 in ** 3,20.8 in ** 3,30.0 in,30.0 in,40.0 in
L10X10X7/8,L,56.9 plf,16.8 in ** 2,10.0 in,10.0 in,0.875 in,1.68 in,1.6875 in,2.8 in,2.8 in,0.84 in,0.84 in,11.4,158.0 in ** 4,39.9 in ** 3,21.9 in ** 3,3.07 in,158.0 in ** 4,39.9 in ** 3,21.9 in ** 3,3.07 in,62.8 in ** 4,1.93 in,15.9 in ** 3,4.39 in ** 4,32.5 in ** 6,5.47 in,1,253.0 in ** 4,6.76 in,0.0 in,6.76 in,3.42 in,3.96 in,3.42 in,37.4 in ** 3,37.4 in ** 3,18.4 in ** 3,15.9 in ** 3,18.4 in ** 3,30.0 in,30.0 in,40.0 in
L10X10X3/4,L,49.1 plf,14.5 in ** 2,10.0 in,10.0 in,0.75 in,1.55 in,1.5625 in,2.76 in,2.76 in,0.725 in,0.725 in,13.3,139.0 in ** 4,34.6 in ** 3,19.2 in ** 3,3.1 in,139.0 in ** 4,34.6 in ** 3,19.2 in ** 3,3.1 in,55.7 in ** 4,1.96 in,14.3 in ** 3,2.8 in ** 4,20.9 in ** 6,5.53 in,1,222.0 in ** 4,6.81 in,0.0 in,6.81 in,3.43 in,3.9 in,3.43 in,32.6 in ** 3,32.6 in ** 3,16.2 in ** 3,14.3 in ** 3,16.2 in ** 3,30.0 in,30.0 in,40.0 in
