Index,A_b,w,d_b,D,G,J
3,0.11 in ** 2,0.376 plf,0.375 in,2.25 in,6.0 in,3.0 in
4,0.2 in ** 2,0.668 plf,0.5 in,3.0 in,8.0 in,4.0 in
5,0.31 in ** 2,1.043 plf,0.625 in,3.75 in,10.0 in,5.0 in
6,0.44 in ** 2,1.502 plf,0.75 in,4.5 in,12.0 in,6.0 in
7,0.6 in ** 2,2.044 plf,0.875 in,5.25 in,14.0 in,7.0 in
8,0.79 in ** 2,2.67 plf,1.0 in,6.0 in,16.0 in,8.0 in
9,1.0 in ** 2,3.4 plf,1.128 in,9.5 in,19.0 in,11.75 in
10,1.27 in ** 2,4.303 plf,1.27 in,10.75 in,22.0 in,13.25 in
11,1.56 in ** 2,5.313 plf,1.41 in,12.0 in,24.0 in,14.75 in
14,2.25 in ** 2,7.65 plf,1.693 in,18.25 in,31.0 in,21.75 in
18,4.0 in ** 2,13.6 plf,2.257 in,24.0 in,41.0 in,28.5 in
