size,type,W,A,d_nom,d,d_det,b_f,b_f_det,t_w,t_w_det,t_w_det_over_2,t_f,t_f_det,k,k_det,x,e_o,x_p,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C_w,W_no,S_w1,S_w2,S_w3,Q_f,Q_w,r_o,H,r_ts,h_o,P_A,P_B,P_C,P_D,T
C15X50,C,50.0 plf,14.7 in ** 2,15 in,15.0 in,15.0 in,3.72 in,3.75 in,0.716 in,0.6875 in,0.375 in,0.65 in,0.625 in,1.44 in,1.4375 in,0.799 in,0.583 in,0.49 in,5.72,17.3,404.0 in ** 4,68.5 in ** 3,53.8 in ** 3,5.24 in,11.0 in ** 4,8.14 in ** 3,3.77 in ** 3,0.865 in,2.65 in ** 4,492.0 in ** 6,17.4 in ** 2,13.7 in ** 4,11.6 in ** 4,5.86 in ** 4,14.0 in ** 3,34.1 in ** 3,5.49 in,0.937,1.17 in,14.4 in,39.7 in,43.4 in,33.7 in,37.4 in,12.125 in
C15X40,C,40.0 plf,11.8 in ** 2,15 in,15.0 in,15.0 in,3.52 in,3.5 in,0.52 in,0.5 in,0.25 in,0.65 in,0.625 in,1.44 in,1.4375 in,0.778 in,0.767 in,0.392 in,5.42,23.8,348.0 in ** 4,57.5 in ** 3,46.5 in ** 3,5.43 in,9.17 in ** 4,6.84 in ** 3,3.34 in ** 3,0.883 in,1.45 in ** 4,410.0 in ** 6,16.0 in ** 2,11.7 in ** 4,9.2 in ** 4,4.64 in ** 4,14.0 in ** 3,28.6 in ** 3,5.71 in,0.927,1.15 in,14.4 in,39.2 in,42.7 in,33.5 in,37.0 in,12.125 in
C15X33.9,C,33.9 plf,10.0 in ** 2,15 in,15.0 in,15.0 in,3.4 in,3.375 in,0.4 in,0.375 in,0.1875 in,0.65 in,0.625 in,1.44 in,1.4375 in,0.788 in,0.896 in,0.332 in,5.23,30.9,315.0 in ** 4,50.8 in ** 3,42.0 in ** 3,5.61 in,8.07 in ** 4,6.19 in ** 3,3.09 in ** 3,0.901 in,1.01 in ** 4,358.0 in ** 6,15.1 in ** 2,10.4 in ** 4,7.55 in ** 4,3.81 in ** 4,14.0 in ** 3,25.2 in ** 3,5.94 in,0.92,1.13 in,14.4 in,38.8 in,42.2 in,33.4 in,36.8 in,12.125 in
C12X30,C,30.0 plf,8.81 in ** 2,12 in,12.0 in,12.0 in,3.17 in,3.125 in,0.51 in,0.5 in,0.25 in,0.501 in,0.5 in,1.13 in,1.125 in,0.674 in,0.618 in,0.367 in,6.33,19.4,162.0 in ** 4,33.8 in ** 3,27.0 in ** 3,4.29 in,5.12 in ** 4,4.32 in ** 3,2.05 in ** 3,0.762 in,0.861 in ** 4,151.0 in ** 6,11.7 in ** 2,6.01 in ** 4,4.91 in ** 4,2.45 in ** 4,7.66 in ** 3,16.8 in ** 3,4.54 in,0.919,1.01 in,11.5 in,32.3 in,35.5 in,27.2 in,30.3 in,9.75 in
C12X25,C,25.0 plf,7.34 in ** 2,12 in,12.0 in,12.0 in,3.05 in,3.0 in,0.387 in,0.375 in,0.1875 in,0.501 in,0.5 in,1.13 in,1.125 in,0.674 in,0.746 in,0.306 in,6.09,25.6,144.0 in ** 4,29.4 in ** 3,24.0 in ** 3,4.43 in,4.45 in ** 4,3.82 in ** 3,1.87 in ** 3,0.779 in,0.538 in ** 4,130.0 in ** 6,11.0 in ** 2,5.29 in ** 4,4.02 in ** 4,1.99 in ** 4,7.67 in ** 3,14.6 in ** 3,4.72 in,0.909,1.0 in,11.5 in,32.0 in,35.0 in,27.1 in,30.1 in,9.75 in
C12X20.7,C,20.7 plf,6.08 in ** 2,12 in,12.0 in,12.0 in,2.94 in,3.0 in,0.282 in,0.3125 in,0.1875 in,0.501 in,0.5 in,1.13 in,1.125 in,0.698 in,0.87 in,0.253 in,5.87,35.2,129.0 in ** 4,25.6 in ** 3,21.5 in ** 3,4.61 in,3.86 in ** 4,3.47 in ** 3,1.72 in ** 3,0.797 in,0.369 in ** 4,112.0 in ** 6,10.3 in ** 2,4.6 in ** 4,3.13 in ** 4,1.58 in ** 4,7.66 in ** 3,12.7 in ** 3,4.93 in,0.899,0.983 in,11.5 in,31.7 in,34.6 in,26.9 in,29.9 in,9.75 in
C10X30,C,30.0 plf,8.81 in ** 2,10 in,10.0 in,10.0 in,3.03 in,3.0 in,0.673 in,0.6875 in,0.375 in,0.436 in,0.4375 in,1.0 in,1.0625 in,0.649 in,0.368 in,0.441 in,6.95,12.1,103.0 in ** 4,26.7 in ** 3,20.7 in ** 3,3.43 in,3.93 in ** 4,3.78 in ** 3,1.65 in ** 3,0.668 in,1.22 in ** 4,79.5 in ** 6,9.51 in ** 2,4.12 in ** 4,3.61 in ** 4,1.81 in ** 4,4.91 in ** 3,13.3 in ** 3,3.63 in,0.921,0.924 in,9.56 in,28.0 in,31.0 in,23.0 in,26.1 in,8.0 in
C10X25,C,25.0 plf,7.35 in ** 2,10 in,10.0 in,10.0 in,2.89 in,2.875 in,0.526 in,0.5 in,0.25 in,0.436 in,0.4375 in,1.0 in,1.0625 in,0.617 in,0.494 in,0.367 in,6.63,15.5,91.1 in ** 4,23.1 in ** 3,18.2 in ** 3,3.52 in,3.34 in ** 4,3.18 in ** 3,1.47 in ** 3,0.675 in,0.687 in ** 4,68.3 in ** 6,8.94 in ** 2,3.64 in ** 4,3.05 in ** 4,1.5 in ** 4,4.93 in ** 3,11.5 in ** 3,3.76 in,0.912,0.911 in,9.56 in,27.6 in,30.5 in,22.9 in,25.8 in,8.0 in
C10X20,C,20.0 plf,5.87 in ** 2,10 in,10.0 in,10.0 in,2.74 in,2.75 in,0.379 in,0.375 in,0.1875 in,0.436 in,0.4375 in,1.0 in,1.0625 in,0.606 in,0.636 in,0.294 in,6.28,21.6,78.9 in ** 4,19.4 in ** 3,15.8 in ** 3,3.67 in,2.8 in ** 4,2.7 in ** 3,1.31 in ** 3,0.69 in,0.368 in ** 4,56.9 in ** 6,8.25 in ** 2,3.1 in ** 4,2.39 in ** 4,1.18 in ** 4,4.92 in ** 3,9.66 in ** 3,3.93 in,0.9,0.894 in,9.56 in,27.2 in,29.9 in,22.7 in,25.5 in,8.0 in
C10X15.3,C,15.3 plf,4.48 in ** 2,10 in,10.0 in,10.0 in,2.6 in,2.625 in,0.24 in,0.25 in,0.125 in,0.436 in,0.4375 in,1.0 in,1.0625 in,0.634 in,0.796 in,0.224 in,5.96,34,67.3 in ** 4,15.9 in ** 3,13.5 in ** 3,3.88 in,2.27 in ** 4,2.34 in ** 3,1.15 in ** 3,0.711 in,0.209 in ** 4,45.5 in ** 6,7.48 in ** 2,2.55 in ** 4,1.67 in ** 4,0.841 in ** 4,4.92 in ** 3,7.92 in ** 3,4.19 in,0.884,0.868 in,9.56 in,26.8 in,29.4 in,22.6 in,25.2 in,8.0 in
