Index,AISC_Manual_Label,Type,W,A,OD,ID,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS28X1.000,HSS28.000X1.000,RoundHSS,288.63 plf,79.1 in ** 2,28.0 in,26.14 in,1.0 in,0.93 in,30.1,7250.0 in ** 4,682.0 in ** 3,518.0 in ** 3,9.58 in,7250.0 in ** 4,682.0 in ** 3,518.0 in ** 3,9.58 in,14500.0 in ** 4,1030.0 in ** 3
HSS28X.875,HSS28.000X0.875,RoundHSS,253.72 plf,69.5 in ** 2,28.0 in,26.372 in,0.875 in,0.814 in,34.4,6430.0 in ** 4,602.0 in ** 3,459.0 in ** 3,9.62 in,6430.0 in ** 4,602.0 in ** 3,459.0 in ** 3,9.62 in,12900.0 in ** 4,917.0 in ** 3
HSS28X.750,HSS28.000X0.750,RoundHSS,218.48 plf,59.8 in ** 2,28.0 in,26.604 in,0.75 in,0.698 in,40.1,5580.0 in ** 4,520.0 in ** 3,398.0 in ** 3,9.66 in,5580.0 in ** 4,520.0 in ** 3,398.0 in ** 3,9.66 in,11200.0 in ** 4,796.0 in ** 3
HSS28X.625,HSS28.000X0.625,RoundHSS,182.9 plf,50.1 in ** 2,28.0 in,26.838 in,0.625 in,0.581 in,48.2,4710.0 in ** 4,437.0 in ** 3,336.0 in ** 3,9.7 in,4710.0 in ** 4,437.0 in ** 3,336.0 in ** 3,9.7 in,9410.0 in ** 4,672.0 in ** 3
HSS28X.500,HSS28.000X0.500,RoundHSS,146.99 plf,40.2 in ** 2,28.0 in,27.07 in,0.5 in,0.465 in,60.2,3810.0 in ** 4,353.0 in ** 3,272.0 in ** 3,9.74 in,3810.0 in ** 4,353.0 in ** 3,272.0 in ** 3,9.74 in,7630.0 in ** 4,544.0 in ** 3
HSS28X.375,HSS28.000X0.375,RoundHSS,110.74 plf,30.3 in ** 2,28.0 in,27.302 in,0.375 in,0.349 in,80.3,2900.0 in ** 4,267.0 in ** 3,207.0 in ** 3,9.78 in,2900.0 in ** 4,267.0 in ** 3,207.0 in ** 3,9.78 in,5790.0 in ** 4,414.0 in ** 3
HSS26X.750,HSS26.000X0.750,RoundHSS,202.44 plf,55.4 in ** 2,26.0 in,24.604 in,0.75 in,0.698 in,37.3,4440.0 in ** 4,447.0 in ** 3,342.0 in ** 3,8.95 in,4440.0 in ** 4,447.0 in ** 3,342.0 in ** 3,8.95 in,8880.0 in ** 4,682.0 in ** 3
HSS26X.625,HSS26.000X0.625,RoundHSS,169.54 plf,46.4 in ** 2,26.0 in,24.838 in,0.625 in,0.581 in,44.7,3750.0 in ** 4,376.0 in ** 3,289.0 in ** 3,8.99 in,3750.0 in ** 4,376.0 in ** 3,289.0 in ** 3,8.99 in,7500.0 in ** 4,577.0 in ** 3
HSS26X.500,HSS26.000X0.500,RoundHSS,136.3 plf,37.3 in ** 2,26.0 in,25.07 in,0.5 in,0.465 in,55.9,3040.0 in ** 4,303.0 in ** 3,234.0 in ** 3,9.03 in,3040.0 in ** 4,303.0 in ** 3,234.0 in ** 3,9.03 in,6080.0 in ** 4,468.0 in ** 3
HSS26X.375,HSS26.000X0.375,RoundHSS,102.73 plf,28.1 in ** 2,26.0 in,25.302 in,0.375 in,0.349 in,74.6,2310.0 in ** 4,229.0 in ** 3,178.0 in ** 3,9.07 in,2310.0 in ** 4,229.0 in ** 3,178.0 in ** 3,9.07 in,4620.0 in ** 4,356.0 in ** 3
HSS26X.313,HSS26.000X0.313,RoundHSS,85.81 plf,23.5 in ** 2,26.0 in,25.418 in,0.313 in,0.291 in,89.5,1940.0 in ** 4,192.0 in ** 3,149.0 in ** 3,9.09 in,1940.0 in ** 4,192.0 in ** 3,149.0 in ** 3,9.09 in,3880.0 in ** 4,298.0 in ** 3
HSS24X1.000,HSS24.000X1.000,RoundHSS,245.87 plf,67.4 in ** 2,24.0 in,22.14 in,1.0 in,0.93 in,25.8,4490.0 in ** 4,495.0 in ** 3,374.0 in ** 3,8.16 in,4490.0 in ** 4,495.0 in ** 3,374.0 in ** 3,8.16 in,8980.0 in ** 4,746.0 in ** 3
HSS24X.875,HSS24.000X0.875,RoundHSS,216.31 plf,59.3 in ** 2,24.0 in,22.372 in,0.875 in,0.814 in,29.5,3990.0 in ** 4,438.0 in ** 3,332.0 in ** 3,8.2 in,3990.0 in ** 4,438.0 in ** 3,332.0 in ** 3,8.2 in,7980.0 in ** 4,663.0 in ** 3
HSS24X.750,HSS24.000X0.750,RoundHSS,186.41 plf,51.1 in ** 2,24.0 in,22.604 in,0.75 in,0.698 in,34.4,3470.0 in ** 4,379.0 in ** 3,289.0 in ** 3,8.24 in,3470.0 in ** 4,379.0 in ** 3,289.0 in ** 3,8.24 in,6940.0 in ** 4,577.0 in ** 3
HSS24X.625,HSS24.000X0.625,RoundHSS,156.18 plf,42.8 in ** 2,24.0 in,22.838 in,0.625 in,0.581 in,41.3,2930.0 in ** 4,319.0 in ** 3,244.0 in ** 3,8.28 in,2930.0 in ** 4,319.0 in ** 3,244.0 in ** 3,8.28 in,5870.0 in ** 4,488.0 in ** 3
