size,type,W,A,d_nom,d,d_det,b_f,b_f_det,t_w,t_w_det,t_w_det_over_2,t_f,t_f_det,k,k_det,k_1,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C_w,W_no,S_w1,Q_f,Q_w,r_ts,h_o,PA,PB,PC,PD,T,WG_i
W44X408,W,408.0 plf,120.0 in ** 2,44 in,44.8 in,44.75 in,16.1 in,16.125 in,1.22 in,1.25 in,0.625 in,2.17 in,2.1875 in,2.96 in,3.375 in,1.8125 in,3.71,31.9,38700.0 in ** 4,2000.0 in ** 3,1730.0 in ** 3,18.0 in,1520.0 in ** 4,297.0 in ** 3,189.0 in ** 3,3.56 in,134.0 in ** 4,691000.0 in ** 6,172.0 in ** 2,1500.0 in ** 4,344.0 in ** 3,994.0 in ** 3,4.33 in,42.6 in,134.0 in,150.0 in,106.0 in,122.0 in,38.0 in,5.5 in
W44X368,W,368.0 plf,108.0 in ** 2,44 in,44.4 in,44.375 in,16.0 in,16.0 in,1.1 in,1.125 in,0.5625 in,1.97 in,2.0 in,2.76 in,3.1875 in,1.75 in,4.06,35.4,34700.0 in ** 4,1800.0 in ** 3,1560.0 in ** 3,17.9 in,1350.0 in ** 4,265.0 in ** 3,169.0 in ** 3,3.54 in,100.0 in ** 4,608000.0 in ** 6,170.0 in ** 2,1340.0 in ** 4,311.0 in ** 3,894.0 in ** 3,4.28 in,42.4 in,133.0 in,149.0 in,105.0 in,121.0 in,38.0 in,5.5 in
W44X335,W,335.0 plf,98.5 in ** 2,44 in,44.0 in,44.0 in,15.9 in,16.0 in,1.03 in,1.0 in,0.5 in,1.77 in,1.75 in,2.56 in,3.0 in,1.75 in,4.5,38.0,31100.0 in ** 4,1620.0 in ** 3,1410.0 in ** 3,17.8 in,1200.0 in ** 4,236.0 in ** 3,150.0 in ** 3,3.49 in,74.7 in ** 4,535000.0 in ** 6,168.0 in ** 2,1180.0 in ** 4,278.0 in ** 3,805.0 in ** 3,4.24 in,42.2 in,132.0 in,148.0 in,104.0 in,120.0 in,38.0 in,5.5 in
W44X290,W,290.0 plf,85.4 in ** 2,44 in,43.6 in,43.625 in,15.8 in,15.875 in,0.865 in,0.875 in,0.4375 in,1.58 in,1.5625 in,2.36 in,2.8125 in,1.625 in,5.02,45.0,27000.0 in ** 4,1410.0 in ** 3,1240.0 in ** 3,17.8 in,1040.0 in ** 4,205.0 in ** 3,132.0 in ** 3,3.49 in,50.9 in ** 4,461000.0 in ** 6,166.0 in ** 2,1040.0 in ** 4,248.0 in ** 3,701.0 in ** 3,4.2 in,42.0 in,131.0 in,147.0 in,103.0 in,119.0 in,38.0 in,5.5 in
W44X262,W,262.0 plf,77.2 in ** 2,44 in,43.3 in,43.25 in,15.8 in,15.75 in,0.785 in,0.8125 in,0.4375 in,1.42 in,1.4375 in,2.2 in,2.625 in,1.625 in,5.57,49.6,24100.0 in ** 4,1270.0 in ** 3,1110.0 in ** 3,17.7 in,923.0 in ** 4,182.0 in ** 3,117.0 in ** 3,3.47 in,37.3 in ** 4,405000.0 in ** 6,165.0 in ** 2,928.0 in ** 4,223.0 in ** 3,630.0 in ** 3,4.17 in,41.9 in,131.0 in,147.0 in,102.0 in,118.0 in,38.0 in,5.5 in
W44X230,W,230.0 plf,67.8 in ** 2,44 in,42.9 in,42.875 in,15.8 in,15.75 in,0.71 in,0.6875 in,0.375 in,1.22 in,1.25 in,2.01 in,2.4375 in,1.5625 in,6.45,54.8,20800.0 in ** 4,1100.0 in ** 3,971.0 in ** 3,17.5 in,796.0 in ** 4,157.0 in ** 3,101.0 in ** 3,3.43 in,24.9 in ** 4,346000.0 in ** 6,165.0 in ** 2,793.0 in ** 4,192.0 in ** 3,547.0 in ** 3,4.13 in,41.7 in,130.0 in,146.0 in,102.0 in,118.0 in,38.0 in,5.5 in
W40X655,W,655.0 plf,193.0 in ** 2,40 in,43.6 in,43.625 in,16.9 in,16.875 in,1.97 in,2.0 in,1.0 in,3.54 in,3.5625 in,4.72 in,4.8125 in,2.1875 in,2.39,17.3,56500.0 in ** 4,3080.0 in ** 3,2590.0 in ** 3,17.1 in,2870.0 in ** 4,542.0 in ** 3,340.0 in ** 3,3.86 in,589.0 in ** 4,1150000.0 in ** 6,169.0 in ** 2,2530.0 in ** 4,529.0 in ** 3,1530.0 in ** 3,4.71 in,40.1 in,132.0 in,149.0 in,104.0 in,121.0 in,34.0 in,7.5 in
W40X593,W,593.0 plf,174.0 in ** 2,40 in,43.0 in,43.0 in,16.7 in,16.75 in,1.79 in,1.8125 in,0.9375 in,3.23 in,3.25 in,4.41 in,4.5 in,2.125 in,2.58,19.1,50400.0 in ** 4,2760.0 in ** 3,2340.0 in ** 3,17.0 in,2520.0 in ** 4,481.0 in ** 3,302.0 in ** 3,3.8 in,445.0 in ** 4,997000.0 in ** 6,166.0 in ** 2,2240.0 in ** 4,479.0 in ** 3,1370.0 in ** 3,4.63 in,39.8 in,130.0 in,147.0 in,103.0 in,120.0 in,34.0 in,7.5 in
W40X503,W,503.0 plf,148.0 in ** 2,40 in,42.1 in,42.0 in,16.4 in,16.375 in,1.54 in,1.5625 in,0.8125 in,2.76 in,2.75 in,3.94 in,4.0 in,2.0 in,2.98,22.3,41600.0 in ** 4,2320.0 in ** 3,1980.0 in ** 3,16.8 in,2040.0 in ** 4,394.0 in ** 3,249.0 in ** 3,3.72 in,277.0 in ** 4,789000.0 in ** 6,161.0 in ** 2,1830.0 in ** 4,403.0 in ** 3,1150.0 in ** 3,4.5 in,39.3 in,129.0 in,145.0 in,101.0 in,117.0 in,34.0 in,7.5 in
W40X431,W,431.0 plf,127.0 in ** 2,40 in,41.3 in,41.25 in,16.2 in,16.25 in,1.34 in,1.3125 in,0.6875 in,2.36 in,2.375 in,3.54 in,3.625 in,1.875 in,3.44,25.5,34800.0 in ** 4,1960.0 in ** 3,1690.0 in ** 3,16.6 in,1690.0 in ** 4,328.0 in ** 3,208.0 in ** 3,3.65 in,177.0 in ** 4,638000.0 in ** 6,158.0 in ** 2,1510.0 in ** 4,341.0 in ** 3,969.0 in ** 3,4.41 in,38.9 in,127.0 in,143.0 in,98.8 in,115.0 in,34.0 in,7.5 in
